@target G0.S0
-0.476 2.127
-0.429 1.987
-0.381 1.843
-0.333 2.081
-0.286 2.092
-0.238 2.127
-0.19 2.204
-0.143 2.2
-0.095 1.874
-0.048 1.674
-0 1.612
0.048 1.867
0.095 2.185
0.143 2.651
0.19 3.226
0.238 3.683
0.286 4.092
0.333 4.756
0.381 5.147
0.429 5.633
0.476 5.981
0.524 5.726
0.571 5.282
0.619 4.704
0.667 4.177
0.714 3.537
0.762 3.113
0.81 2.454
0.857 1.799
0.905 1.04
0.952 0.491
1 0
&
@target G6.S0
@type xy
-0.103 1.505
-0.069 0.872
-0.034 0.684
0 0.561
0.034 0.677
0.069 0.496
0.103 0.79
0.138 0.504
0.172 0.752
0.207 0.922
0.241 1.18
0.276 1.202
0.31 1.411
0.345 1.588
0.379 2.061
0.414 2.164
0.448 2.14
0.483 2.531
0.517 3.099
0.552 3.784
0.586 3.575
0.621 3.71
0.655 3.778
0.69 3.693
0.724 2.792
0.759 2.125
0.793 1.67
0.828 1.027
0.862 0.583
0.897 0.31
0.931 0.137
0.966 0
1 0.063
1.034 0.081
1.069 0.439
1.103 0.534
1.138 0.462
&
@target G6.S1
@type xy
-0.258 4.583
-0.226 4.029
-0.194 3.509
-0.161 3.157
-0.129 3.066
-0.097 2.722
-0.065 2.424
-0.032 2.169
0 2.127
0.032 1.987
0.065 1.843
0.097 2.081
0.129 2.092
0.161 2.127
0.194 2.204
0.226 2.2
0.258 1.874
0.29 1.674
0.323 1.612
0.355 1.867
0.387 2.185
0.419 2.651
0.452 3.226
0.484 3.683
0.516 4.092
0.548 4.756
0.581 5.147
0.613 5.633
0.645 5.981
0.677 5.726
0.71 5.282
0.742 4.704
0.774 4.177
0.806 3.537
0.839 3.113
0.871 2.454
0.903 1.799
0.935 1.04
0.968 0.491
1 0
&
@target G7.S0
@type xy
-0.103 1.118
-0.069 0.696
-0.034 0.607
0 0.436
0.034 0.477
0.069 0.54
0.103 0.669
0.138 0.693
0.172 0.925
0.207 0.918
0.241 1.216
0.276 1.566
0.31 1.818
0.345 2.267
0.379 2.741
0.414 3.179
0.448 3.412
0.483 3.795
0.517 3.302
0.552 3.259
0.586 3.067
0.621 2.699
0.655 2.161
0.69 1.894
0.724 1.454
0.759 0.993
0.793 0.774
0.828 0.537
0.862 0.343
0.897 0.135
0.931 0.1
0.966 0
1 0.001
1.034 0.058
1.069 0.309
1.103 0.501
1.138 0.823
&
@target G7.S1
@type xy
-0.393 2.646
-0.357 2.418
-0.321 2.295
-0.286 1.855
-0.25 1.704
-0.214 1.764
-0.179 1.799
-0.143 1.651
-0.107 1.192
-0.071 1.167
-0.036 1.142
-0 0.911
0.036 0.847
0.071 0.859
0.107 0.952
0.143 0.949
0.179 0.916
0.214 1.016
0.25 1.053
0.286 1.109
0.321 1.461
0.357 1.584
0.393 1.767
0.429 1.946
0.464 2.037
0.5 2.187
0.536 2.179
0.571 2.134
0.607 2.094
0.643 1.882
0.679 1.836
0.714 1.73
0.75 1.621
0.786 1.267
0.821 1.147
0.857 0.879
0.893 0.6
0.929 0.343
0.964 0.171
1 0
&
@target G8.S0
@type xy
-0.304 7.357
-0.261 5.174
-0.217 3.837
-0.174 2.611
-0.13 1.503
-0.087 0.613
-0.043 0.095
-0 0.039
0.043 0
0.087 0.171
0.13 0.348
0.174 0.614
0.217 1.491
0.261 2.503
0.304 3.237
0.348 4.244
0.391 5.553
0.435 6.516
0.478 7.405
0.522 8.174
0.565 8.869
0.609 8.497
0.652 7.154
0.696 5.745
0.739 4.42
0.783 3.364
0.826 2.668
0.87 2.109
0.913 1.903
0.957 1.71
1 1.834
1.043 1.995
1.087 2.309
1.13 2.35
1.174 2.318
1.217 2.477
1.261 2.923
1.304 2.922
1.348 2.479
1.391 2.087
1.435 1.639
1.478 1.134
1.522 0.817
1.565 0.876
&
@target G8.S3
@type xy
-0.097 3.592
-0.065 3.5
-0.032 3.369
0 3.405
0.032 3.58
0.065 3.881
0.097 4.39
0.129 4.859
0.161 5.511
0.194 6.233
0.226 6.966
0.258 7.47
0.29 7.778
0.323 7.865
0.355 7.882
0.387 7.834
0.419 7.626
0.452 7.611
0.484 7.395
0.516 7.023
0.548 6.345
0.581 5.7
0.613 5.291
0.645 4.514
0.677 3.696
0.71 3.246
0.742 2.679
0.774 1.908
0.806 1.54
0.839 1.047
0.871 0.466
0.903 0.046
0.935 0.016
0.968 0
1 0.052
1.032 0.148
1.065 0.328
1.097 0.603
1.129 0.756
1.161 0.8
1.194 0.889
1.226 0.903
1.258 1.142
1.29 1.631
1.323 2.118
1.355 3.315
1.387 4.418
&
@target G9.S0
@type xy
-0.1 4.168
-0.067 4.022
-0.033 3.902
-0 3.863
0.033 3.956
0.067 4.146
0.1 4.546
0.133 5.006
0.167 5.725
0.2 6.476
0.233 7.261
0.267 7.897
0.3 8.377
0.333 8.551
0.367 8.531
0.4 8.577
0.433 8.328
0.467 8.119
0.5 7.782
0.533 7.353
0.567 6.871
0.6 6.037
0.633 5.463
0.667 4.966
0.7 4.314
0.733 3.481
0.767 2.704
0.8 2.085
0.833 1.3
0.867 0.831
0.9 0.336
0.933 0.136
0.967 0
1 0.013
1.033 0.103
1.067 0.221
1.1 0.413
1.133 0.53
1.167 0.564
1.2 0.584
1.233 0.666
1.267 0.605
1.3 0.782
1.333 1.202
1.367 1.55
1.4 2.406
1.433 3.416
&
@target G9.S1
@type xy
1.1004 1.701
1.0774 1.575
1.0554 1.468
1.0334 1.466
1.0114 1.573
0.9894 1.836
0.9664 2.256
0.9444 2.681
0.9224 3.165
0.9004 3.693
0.8774 4.368
0.8554 5.002
0.8334 5.67
0.8114 6.199
0.7894 6.777
0.7664 7.544
0.7444 8.004
0.7224 8.64
0.7004 9.072
0.6774 9.155
0.6554 9.258
0.6334 9.094
0.6114 8.821
0.5894 8.633
0.5664 8.261
0.5444 7.811
0.5224 7.063
0.5004 6.112
0.4774 5.439
0.4554 4.703
0.4334 3.953
0.4114 3.418
0.3894 2.979
0.3664 2.54
0.3444 2.213
0.3224 1.919
0.3004 1.711
0.2774 1.625
0.2554 1.407
0.2334 1.247
0.2114 1.087
0.1894 0.865
0.1664 0.665
0.1444 0.563
0.1224 0.363
0.1004 0.208
0.0774 0.189
0.0554 0
0.0334 0.101
0.0114 0.031
-0.0106 0.134
-0.0336 0.641
-0.0556 1.107
-0.0776 1.655
-0.0996 2.474
-0.1226 3.423
&
@target G10.S2
@type xy
-0.097 3.592
-0.065 3.5
-0.032 3.369
0 3.405
0.032 3.58
0.065 3.881
0.097 4.39
0.129 4.859
0.161 5.511
0.194 6.233
0.226 6.966
0.258 7.47
0.29 7.778
0.323 7.865
0.355 7.882
0.387 7.834
0.419 7.626
0.452 7.611
0.484 7.395
0.516 7.023
0.548 6.345
0.581 5.7
0.613 5.291
0.645 4.514
0.677 3.696
0.71 3.246
0.742 2.679
0.774 1.908
0.806 1.54
0.839 1.047
0.871 0.466
0.903 0.046
0.935 0.016
0.968 0
1 0.052
1.032 0.148
1.065 0.328
1.097 0.603
1.129 0.756
1.161 0.8
1.194 0.889
1.226 0.903
1.258 1.142
1.29 1.631
1.323 2.118
1.355 3.315
